16.09.2024 08:42:04,301; ShaftpowerTest start
16.09.2024 08:42:11,254; Error: PCAN init
16.09.2024 08:49:06,064; ShaftpowerTest start
16.09.2024 08:49:13,346; Error: PCAN init
16.09.2024 08:51:47,115; ShaftpowerTest start
16.09.2024 08:51:51,417; Error: PCAN init
16.09.2024 08:52:50,205; ShaftpowerTest start
16.09.2024 08:52:53,337; Error: PCAN init
16.09.2024 09:11:59,997; ShaftpowerTest start
16.09.2024 09:12:03,214; Error: PCAN init
16.09.2024 10:07:43,442; ShaftpowerTest start
16.09.2024 10:07:46,854; Error: PCAN init
16.09.2024 10:09:44,144; ShaftpowerTest start
16.09.2024 10:09:47,394; Error: PCAN init
16.09.2024 10:26:40,028; ShaftpowerTest start
16.09.2024 10:26:43,92; Error: PCAN init
16.09.2024 10:27:46,903; ShaftpowerTest start
16.09.2024 10:27:49,815; Error: PCAN init
16.09.2024 10:30:15,217; ShaftpowerTest start
16.09.2024 10:30:18,427; Error: PCAN init
16.09.2024 12:35:06,29; ShaftpowerTest start
16.09.2024 12:35:09,838; Error: PCAN init
16.09.2024 12:57:13,74; ShaftpowerTest start
16.09.2024 12:57:17,32; Error: PCAN init
16.09.2024 13:00:18,64; ShaftpowerTest start
16.09.2024 13:00:21,89; Error: PCAN init
16.09.2024 13:05:34,304; ShaftpowerTest start
16.09.2024 13:05:38,153; Error: PCAN init
16.09.2024 13:05:46,582; ShaftpowerTest start
16.09.2024 13:05:50,686; Error: PCAN init
