12.09.2024 08:43:04,508; ShaftpowerTest start
12.09.2024 08:43:13,937; Error: PCAN init
12.09.2024 08:53:27,642; ShaftpowerTest start
12.09.2024 08:53:34,095; Error: PCAN init
12.09.2024 09:07:59,569; ShaftpowerTest start
12.09.2024 09:08:09,004; Error: PCAN init
12.09.2024 09:27:37,622; ShaftpowerTest start
12.09.2024 09:27:43,681; Error: PCAN init
12.09.2024 09:35:01,435; ShaftpowerTest start
12.09.2024 09:35:06,256; Error: PCAN init
12.09.2024 09:36:39,636; ShaftpowerTest start
12.09.2024 09:36:47,131; Error: PCAN init
12.09.2024 09:39:10,727; ShaftpowerTest start
12.09.2024 09:39:17,635; Error: PCAN init
12.09.2024 09:54:50,404; ShaftpowerTest start
12.09.2024 09:54:57,646; Error: PCAN init
12.09.2024 10:09:53,884; ShaftpowerTest start
12.09.2024 10:10:00,05; Error: PCAN init
12.09.2024 10:26:56,945; ShaftpowerTest start
12.09.2024 10:27:02,662; Error: PCAN init
12.09.2024 10:28:22,423; ShaftpowerTest start
12.09.2024 10:28:27,769; Error: PCAN init
12.09.2024 10:30:24,121; ShaftpowerTest start
12.09.2024 10:30:29,493; Error: PCAN init
12.09.2024 11:10:53,209; ShaftpowerTest start
12.09.2024 11:10:59,241; Error: PCAN init
12.09.2024 11:33:29,602; ShaftpowerTest start
12.09.2024 11:33:35,406; Error: PCAN init
12.09.2024 11:34:37,519; ShaftpowerTest start
12.09.2024 11:34:43,618; Error: PCAN init
12.09.2024 11:45:24,821; ShaftpowerTest start
12.09.2024 11:45:30,02; Error: PCAN init
12.09.2024 11:47:00,757; ShaftpowerTest start
12.09.2024 11:47:05,648; Error: PCAN init
12.09.2024 11:47:35,74; ShaftpowerTest start
12.09.2024 11:47:40,785; Error: PCAN init
12.09.2024 12:12:00,074; ShaftpowerTest start
12.09.2024 12:12:05,498; Error: PCAN init
12.09.2024 12:37:38,512; ShaftpowerTest start
12.09.2024 12:37:43,913; Error: PCAN init
12.09.2024 12:39:50,437; ShaftpowerTest start
12.09.2024 12:39:55,222; Error: PCAN init
12.09.2024 12:50:19,633; ShaftpowerTest start
12.09.2024 12:50:23,565; Error: PCAN init
12.09.2024 13:04:21,343; ShaftpowerTest start
12.09.2024 13:04:28,636; Error: PCAN init
12.09.2024 13:59:48,458; ShaftpowerTest start
12.09.2024 13:59:53,105; Error: PCAN init
12.09.2024 14:04:22,362; ShaftpowerTest start
12.09.2024 14:04:26,887; Error: PCAN init
12.09.2024 14:05:44,02; ShaftpowerTest start
12.09.2024 14:05:51,095; Error: PCAN init
12.09.2024 14:15:48,664; ShaftpowerTest start
12.09.2024 14:16:11,689; Error: PCAN init
12.09.2024 14:17:13,318; ShaftpowerTest start
12.09.2024 14:17:18,719; Error: PCAN init
12.09.2024 14:20:04,651; ShaftpowerTest start
12.09.2024 14:20:10,8; Error: PCAN init
12.09.2024 14:23:45,11; ShaftpowerTest start
12.09.2024 14:23:51,248; Error: PCAN init
12.09.2024 14:29:31,33; ShaftpowerTest start
12.09.2024 14:29:37,081; Error: PCAN init
12.09.2024 14:32:26,024; ShaftpowerTest start
12.09.2024 14:32:31,541; Error: PCAN init
12.09.2024 14:36:58,904; ShaftpowerTest start
12.09.2024 14:37:05,324; Error: PCAN init
